,DYJetsToLL_M-50,DYJetsToLL_M-50_eff,TTtoLNu2Q,TTtoLNu2Q_eff,TTto2L2N,TTto2L2N_eff,TTto4Q,TTto4Q_eff,ttHto2B,ttHto2B_eff,VBFHToTauTau,VBFHToTauTau_eff,VBFHto2B,VBFHto2B_eff,GluGluHToTauTau,GluGluHToTauTau_eff,GluGluHto2B,GluGluHto2B_eff,WWto2L2Nu,WWto2L2Nu_eff,WWto4Q,WWto4Q_eff,WWW_4F,WWW_4F_eff,WZto3LNu,WZto3LNu_eff,WZto2L2Q,WZto2L2Q_eff,WZtoLNu2Q,WZtoLNu2Q_eff,ZH_HToBB_ZToLL,ZH_HToBB_ZToLL_eff,ZH_HToBB_ZToQQ,ZH_HToBB_ZToQQ_eff,GluGlutoHHto2B2Tau,GluGlutoHHto2B2Tau_eff,ZZto4L,ZZto4L_eff,ZZto2L2Nu,ZZto2L2Nu_eff,ZZto2Nu2Q,ZZto2Nu2Q_eff,ZZto2L2Q,ZZto2L2Q_eff,QCD-4Jets_HT-1000to1200,QCD-4Jets_HT-1000to1200_eff,QCD-4Jets_HT-100to200,QCD-4Jets_HT-100to200_eff,QCD-4Jets_HT-1200to1500,QCD-4Jets_HT-1200to1500_eff,QCD-4Jets_HT-1500to2000,QCD-4Jets_HT-1500to2000_eff,QCD-4Jets_HT-2000,QCD-4Jets_HT-2000_eff,QCD-4Jets_HT-200to400,QCD-4Jets_HT-200to400_eff,QCD-4Jets_HT-400to600,QCD-4Jets_HT-400to600_eff,QCD-4Jets_HT-600to800,QCD-4Jets_HT-600to800_eff,QCD-4Jets_HT-70to100,QCD-4Jets_HT-70to100_eff,QCD-4Jets_HT-800to1000,QCD-4Jets_HT-800to1000_eff
initial,1352402.8285097529,1.0,253825.6072029326,1.0,66761.90259567711,1.0,261277.571234618,1.0,113.79859279617506,1.0,1679.4780511896543,1.0,428.15535417722094,1.0,10033.5770553169,1.0,552.4186808060862,1.0,4705.316929329608,1.0,12249.811333333953,1.0,210.20557366992497,1.0,1696.8786783234677,1.0,3833.9236588931008,1.0,3766.64291851979,1.0,76.22324209779003,1.0,80.775381320772,1.0,29.515989546928008,1.0,87.22195502122611,1.0,275.72463620816717,1.0,252.30453323871464,1.0,847.1163672227174,1.0,178794.78400981228,1.0,340.1719013165294,1.0,68802.40686941212,1.0,38309.65631525439,1.0,9479.749274391328,1.0,84797120.48555885,1.0,7610675.351731241,1.0,1839263.3979125745,1.0,2578383.427403077,1.0,459737.15971141186,1.0
>= 2 Medium hadronic Taus,180927.37480463096,0.13378216237834953,6527.8605692257415,0.02571789600411255,13647.76489861929,0.20442444520002334,1095.7662903260352,0.004193878124127524,3.180579054697752,0.027949194946500746,714.4433513614806,0.4253960632920486,0.9407857491609782,0.002197299975306558,4879.28941535131,0.48629610242198934,0.46112184636636167,0.0008347325360060151,1228.7879500725946,0.26114881707822957,62.51133761801308,0.005103044929998915,19.33355626458639,0.0919745177401665,561.9388641367392,0.3311603070479618,929.1877846206003,0.2423594905092262,121.2046282444049,0.03217842276698629,27.668495520426905,0.362992897690311,0.21772062896489003,0.0026953834869598015,13.85713864463587,0.46947904702988713,30.079067667437098,0.34485660932636897,94.66574497502073,0.343334372571444,1.5186379568924688,0.006019067265254522,198.02724773175066,0.23376628689277448,189.2359416392085,0.0010583974397643681,10.41270155337275,0.03061011657069156,60.71114253542066,0.0008823985278691081,16.96172233294404,0.0004427531845591136,1.9129523484341855,0.00020179355941426114,442723.99803091143,0.005220979149950126,15314.595853338848,0.0020122518890331007,3766.5735348120875,0.002047870652505163,0.0,0.0,771.2933067067993,0.001677683194438663
Tau dR >= 0.5,180927.37480463096,1.0,6527.192033087153,0.9998975872521327,13647.004717230724,0.9999442999352485,1095.2484451303255,0.9995274127336445,3.180579054697752,1.0,714.4433513614806,1.0,0.9407857491609782,1.0,4879.28941535131,1.0,0.46112184636636167,1.0,1228.7879500725946,1.0,61.98157941806253,0.991525406108125,19.33355626458639,1.0,561.4857186700535,0.9991936036184615,929.0694887576811,0.9998726889603188,121.2046282444049,1.0,27.662256358277137,0.9997745030211288,0.21772062896489003,1.0,13.85513856749897,0.9998556644926351,30.075960871807716,0.9998967123694215,94.6448431651747,0.9997792040843122,1.5186379568924688,1.0,197.9209888371127,0.9994634127583195,189.2359416392085,1.0,10.41270155337275,1.0,60.71114253542066,1.0,16.96172233294404,1.0,1.9129523484341855,1.0,442723.99803091143,1.0,15314.595853338848,1.0,3766.5735348120875,1.0,0.0,1.0,771.2933067067993,1.0
>=2 ak4 jets,47147.4922884016,0.26058794220229203,5974.986282171901,0.9153991872590768,10737.990735746267,0.7868386476182915,1066.7668011304686,0.9739952664379561,3.1315391247793496,0.9845814459961403,218.1433825764137,0.30533335100775766,0.49279253425513525,0.523809522725682,1190.496761418646,0.24398978213366135,0.46112184636636167,1.0,278.2510251415649,0.22644348451262591,42.91032637427033,0.6923077271852403,14.462108631023234,0.7480314761083934,266.5810646246538,0.47477799659104974,741.4347710960545,0.7980401682197904,66.74365749274209,0.5506692150249892,22.314509953911315,0.8066771439356695,0.19594857156184692,0.9000000252316279,12.176801549978867,0.8788653747962432,13.110950976104379,0.435927917049333,23.605967836847427,0.24941631310699264,0.4049701218379917,0.26666666666666666,147.3542880579314,0.7445106702614684,170.03502567508949,0.8985345183489144,6.982449478623994,0.6705704031594305,53.581688003545246,0.8825676105878606,14.793817373457307,0.8721883947318191,1.6398972999546833,0.8572598796289899,159654.56849632328,0.3606187358408704,11637.540930315205,0.7598986641085941,3011.6840825229015,0.7995819156821938,0.0,1.0,620.9617579502391,0.8050915942750331
>=2 Loose B-tagged,2807.471542985946,0.05954657197487026,2482.251598695044,0.4154405519057942,5676.001407304898,0.5285906411159171,414.2783792634864,0.38834952383639,0.7986475219273071,0.2550335442427469,7.620729293668994,0.03493449676842487,0.1791972881036292,0.36363636956166373,62.3950088253078,0.05241090177427722,0.46112184636636167,1.0,10.746406384918142,0.03862126430424012,3.1785425252522606,0.074074070132409,0.7992217943299365,0.055263158002802897,17.33400127112335,0.06502337776889604,45.16474245242496,0.06091532824345214,5.561971457728507,0.08333333333333333,12.910716560755676,0.5785794349695171,0.1306323753188918,0.6666666374633944,6.933661386173259,0.5694156513690816,1.3639117178748776,0.10402843549340561,1.1855242345326604,0.05022137803145406,0.10124253045949792,0.25,20.634700904367314,0.1400346143727756,19.270174519474438,0.11333061787103056,0.0,0.0,10.723644301664093,0.2001363656358598,3.034251071163101,0.20510264487968316,0.18192922736365733,0.11093940295449278,12176.876217777646,0.07627013954228357,609.9552047176285,0.052412722616401376,188.93672936863328,0.06273457779487951,0.0,1.0,50.115086422953596,0.08070559222258833
