,DYJetsToLL_M-50,DYJetsToLL_M-50_eff,TTtoLNu2Q,TTtoLNu2Q_eff,TTto2L2N,TTto2L2N_eff,TTto4Q,TTto4Q_eff,ttHto2B,ttHto2B_eff,VBFHToTauTau,VBFHToTauTau_eff,VBFHto2B,VBFHto2B_eff,GluGluHToTauTau,GluGluHToTauTau_eff,GluGluHto2B,GluGluHto2B_eff,WWto2L2Nu,WWto2L2Nu_eff,WWto4Q,WWto4Q_eff,WWW_4F,WWW_4F_eff,WZto3LNu,WZto3LNu_eff,WZto2L2Q,WZto2L2Q_eff,WZtoLNu2Q,WZtoLNu2Q_eff,ZH_HToBB_ZToLL,ZH_HToBB_ZToLL_eff,ZH_HToBB_ZToQQ,ZH_HToBB_ZToQQ_eff,GluGlutoHHto2B2Tau,GluGlutoHHto2B2Tau_eff,ZZto4L,ZZto4L_eff,ZZto2L2Nu,ZZto2L2Nu_eff,ZZto2Nu2Q,ZZto2Nu2Q_eff,ZZto2L2Q,ZZto2L2Q_eff
initial,1265227.7188653103,1.0,253077.46486738927,1.0,65441.262546972976,1.0,262085.5359484568,1.0,113.82940117145144,1.0,1678.5706328644897,1.0,427.93719647758974,1.0,10033.77156415641,1.0,552.1903663303383,1.0,4703.989035315679,1.0,12243.246274790035,1.0,210.30285085627185,1.0,1695.9522544657718,1.0,3836.7172813691477,1.0,3767.101156697885,1.0,76.27727388115032,1.0,80.81427640424279,1.0,29.51691654203026,1.0,87.1722326780605,1.0,276.02504206725416,1.0,251.61169345237144,1.0,847.0443565315558,1.0
>= 2 Medium hadronic Taus,169264.90013082774,0.13378216237834956,6508.619922443963,0.025717896004112544,13377.793789354015,0.2044244452000233,1099.1547958644708,0.004193878124127524,3.181440123984336,0.02794919494650074,714.0573391781966,0.42539606329204865,0.9403063912529657,0.0021972999753065584,4879.384004241851,0.4862961024219894,0.4609312648450138,0.0008347325360060151,1228.441172121652,0.2611488170782296,62.47783582929539,0.005103044929998915,19.342503286887766,0.0919745177401665,561.6320693275682,0.33116030704796184,929.8648455405701,0.2423594905092262,121.21937362622762,0.03217842276698629,27.688108674036233,0.362992897690311,0.2178254661306011,0.002695383486959801,13.857573849413077,0.46947904702988713,30.061920588765236,0.3448566093263689,94.76888463216713,0.34333437257144395,1.5144677076144248,0.0060190672652545235,198.01041405986123,0.2337662868927745
Tau dR >= 0.5,169264.90013082774,1.0,6507.953356792882,0.9998975872521327,13377.048645373716,0.9999442999352485,1098.6353493041913,0.9995274127336442,3.181440123984336,1.0,714.0573391781966,1.0,0.9403063912529657,1.0,4879.384004241851,1.0,0.4609312648450138,1.0,1228.441172121652,1.0,61.94836154339888,0.9915254061081251,19.342503286887766,1.0,561.1791712591065,0.9991936036184617,929.7464634803214,0.9998726889603189,121.21937362622762,1.0,27.681865089179574,0.9997745030211286,0.2178254661306011,1.0,13.855573709460673,0.999855664492635,30.05881556421699,0.9998967123694217,94.74796004950606,0.9997792040843122,1.5144677076144248,1.0,197.90416419795682,0.9994634127583194
>=2 ak4 jets,44108.392012168864,0.260587942202292,5957.375213528186,0.9153991872590769,10525.578865249952,0.7868386476182915,1070.0656297636929,0.9739952664379562,3.1323869176226378,0.9845814459961404,218.02552018296177,0.30533335100775766,0.4925414420181244,0.523809522725682,1190.5198401414411,0.24398978213366132,0.4609312648450138,1.0,278.1724995340013,0.2264434845126259,42.88732938296001,0.6923077271852401,14.468801285322106,0.7480314761083934,266.4355226590242,0.4747779965910497,741.9750241175908,0.7980401682197903,66.75177732057566,0.5506692150249893,22.3303278689519,0.8066771439356697,0.19604292501363213,0.900000025231628,12.177183981182129,0.8788653747962433,13.103476857879182,0.4359279170493329,23.631686869956436,0.24941631310699267,0.4038580553638466,0.26666666666666666,147.3417619345566,0.7445106702614687
>=2 Loose B-tagged,2626.5035396484054,0.059546571974870253,2474.9352466180476,0.41544055190579415,5563.722480498619,0.528590641115917,415.559477792417,0.3883495238363901,0.7988637375409146,0.2550335442427469,7.616611830265828,0.03493449676842487,0.17910598183413745,0.36363636956166373,62.39621840198129,0.052410901774277215,0.4609312648450138,1.0,10.743373626673776,0.03862126430424012,3.1768390445051056,0.074074070132409,0.7995916515419131,0.05526315800280289,17.324537640910986,0.06502337776889602,45.19765214256636,0.06091532824345214,5.562648110047971,0.08333333333333333,12.919868481102252,0.5785794349695171,0.1306952776173265,0.6666666374633944,6.933879148485969,0.5694156513690817,1.3631341970492177,0.10402843549340561,1.1868158798170314,0.05022137803145406,0.10096451384096165,0.25,20.632946813510934,0.14003461437277556
OS Tau,2542.1662700266675,0.9678899082568807,1992.6795679265267,0.8051441227197704,5384.480210180255,0.9677837507268514,245.18009277273936,0.5900000021061085,0.6867425297137282,0.8596491459578312,7.426196090817887,0.9749999417468941,0.13432947834984946,0.7499999551899186,57.404522380250995,0.9200000232454506,0.4609312648450138,1.0,10.396812921639363,0.9677419107742871,1.058946394981519,0.33333334806909737,0.45690952365484727,0.5714285820440397,12.342317894648447,0.7124183138661497,42.59464572447084,0.9424083709064157,3.9402090469291937,0.7083333277565915,12.645110415815456,0.9787336793955231,0.10891273306530054,0.8333333464748063,6.750937966695862,0.9736163296370615,0.9020284418592189,0.6617312101859404,1.124037143038291,0.9471032214462627,0.10096451384096165,1.0,19.655485020584365,0.9526261662107081
